"device","method","filename","bytes","size","seconds","speed","blocksize","count","oflag"
/mnt/nvme, write, /mnt/nvme/test0.img, 2097152, 2.1 MB, 0.0425565, 49.3 MB/s, 8k, 256, dsync
/mnt/nvme, read-cache, /mnt/nvme/test0.img, 2097152, 2.1 MB, 0.00309515, 678 MB/s, 8k, 256, dsync
/mnt/nvme, read-nocache, /mnt/nvme/test0.img, 2097152, 2.1 MB, 0.0145349, 144 MB/s, 8k, 256, dsync
/mnt/nvme, write, /mnt/nvme/test1.img, 8388608, 8.4 MB, 0.0310257, 270 MB/s, 64k, 128, dsync
/mnt/nvme, read-cache, /mnt/nvme/test1.img, 8388608, 8.4 MB, 0.0117317, 715 MB/s, 64k, 128, dsync
/mnt/nvme, read-nocache, /mnt/nvme/test1.img, 8388608, 8.4 MB, 0.0375469, 223 MB/s, 64k, 128, dsync
/mnt/nvme, write, /mnt/nvme/test2.img, 33554432, 34 MB, 0.0483202, 694 MB/s, 512k, 64, dsync
/mnt/nvme, read-cache, /mnt/nvme/test2.img, 33554432, 34 MB, 0.0468131, 717 MB/s, 512k, 64, dsync
/mnt/nvme, read-nocache, /mnt/nvme/test2.img, 33554432, 34 MB, 0.0877293, 382 MB/s, 512k, 64, dsync
/mnt/nvme, write, /mnt/nvme/test3.img, 134217728, 134 MB, 0.739095, 182 MB/s, 4096k, 32, dsync
/mnt/nvme, read-cache, /mnt/nvme/test3.img, 134217728, 134 MB, 0.182462, 736 MB/s, 4096k, 32, dsync
/mnt/nvme, read-nocache, /mnt/nvme/test3.img, 134217728, 134 MB, 0.296996, 452 MB/s, 4096k, 32, dsync
/mnt/nvme, write, /mnt/nvme/test4.img, 536870912, 537 MB, 7.19842, 74.6 MB/s, 32768k, 16, dsync
/mnt/nvme, read-cache, /mnt/nvme/test4.img, 536870912, 537 MB, 0.725123, 740 MB/s, 32768k, 16, dsync
/mnt/nvme, read-nocache, /mnt/nvme/test4.img, 536870912, 537 MB, 2.43149, 221 MB/s, 32768k, 16, dsync
/mnt/gp2, write, /mnt/gp2/test0.img, 2097152, 2.1 MB, 0.361356, 5.8 MB/s, 8k, 256, dsync
/mnt/gp2, read-cache, /mnt/gp2/test0.img, 2097152, 2.1 MB, 0.00288223, 728 MB/s, 8k, 256, dsync
/mnt/gp2, read-nocache, /mnt/gp2/test0.img, 2097152, 2.1 MB, 0.0104335, 201 MB/s, 8k, 256, dsync
/mnt/gp2, write, /mnt/gp2/test1.img, 8388608, 8.4 MB, 0.22442, 37.4 MB/s, 64k, 128, dsync
/mnt/gp2, read-cache, /mnt/gp2/test1.img, 8388608, 8.4 MB, 0.0117035, 717 MB/s, 64k, 128, dsync
/mnt/gp2, read-nocache, /mnt/gp2/test1.img, 8388608, 8.4 MB, 0.0255651, 328 MB/s, 64k, 128, dsync
/mnt/gp2, write, /mnt/gp2/test2.img, 33554432, 34 MB, 0.234677, 143 MB/s, 512k, 64, dsync
/mnt/gp2, read-cache, /mnt/gp2/test2.img, 33554432, 34 MB, 0.0469993, 714 MB/s, 512k, 64, dsync
/mnt/gp2, read-nocache, /mnt/gp2/test2.img, 33554432, 34 MB, 0.0933576, 359 MB/s, 512k, 64, dsync
/mnt/gp2, write, /mnt/gp2/test3.img, 134217728, 134 MB, 0.407657, 329 MB/s, 4096k, 32, dsync
/mnt/gp2, read-cache, /mnt/gp2/test3.img, 134217728, 134 MB, 0.184767, 726 MB/s, 4096k, 32, dsync
/mnt/gp2, read-nocache, /mnt/gp2/test3.img, 134217728, 134 MB, 0.482445, 278 MB/s, 4096k, 32, dsync
/mnt/gp2, write, /mnt/gp2/test4.img, 536870912, 537 MB, 3.98527, 135 MB/s, 32768k, 16, dsync
/mnt/gp2, read-cache, /mnt/gp2/test4.img, 536870912, 537 MB, 0.722599, 743 MB/s, 32768k, 16, dsync
/mnt/gp2, read-nocache, /mnt/gp2/test4.img, 536870912, 537 MB, 3.15928, 170 MB/s, 32768k, 16, dsync
